"Repository","Visibility","Archived","Fork","Workflow","Path","State","TotalChecked","Success","Failure","Cancelled","Classification","LastRun"
"saskw2010/testropo","PUBLIC","False","False","Copilot","dynamic/copilot-swe-agent/copilot","active","4","4","0","0","ALWAYS_SUCCESS","https://github.com/saskw2010/testropo/actions/runs/16455116622"
"saskw2010/bolt.new-allllm","PUBLIC","False","False","CI/CD",".github/workflows/ci.yaml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/bolt.new-allllm","PUBLIC","False","False","Build and Push Container",".github/workflows/github-build-push.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/bolt.new-allllm","PUBLIC","False","False","Semantic Pull Request",".github/workflows/semantic-pr.yaml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/HelpDesk2021-09-30","PUBLIC","False","False","CodeQL",".github/workflows/codeql-analysis.yml","disabled_inactivity","0","0","0","0","NO_HISTORY",""
"saskw2010/HelpDesk2021-09-30","PUBLIC","False","False",".NET",".github/workflows/dotnet.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/CPDEventPlannernet6-2022-11-14","PRIVATE","False","False",".NET Core Desktop",".github/workflows/dotnet-desktop.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/CleanArchitecturenet6","PUBLIC","False","False","CodeQL",".github/workflows/codeql-analysis.yml","disabled_inactivity","0","0","0","0","NO_HISTORY",""
"saskw2010/CleanArchitecturenet6","PUBLIC","False","False","Build",".github/workflows/dotnet-build.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/CleanArchitecturenet6","PUBLIC","False","False","Build & Deploy",".github/workflows/dotnet-deploy.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/CleanArchitecturenet6","PUBLIC","False","False","Live Tests",".github/workflows/live-tests.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/CleanArchitecturenet6","PUBLIC","False","False","Package",".github/workflows/package.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/CarChecker","PRIVATE","False","False","Build Blazor App",".github/workflows/build-CI.yml","active","0","0","0","0","NO_HISTORY",""
